BUFFALO TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ BUF CLASS C             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.51.31.510 W078.43.03.295 N042.51.32.835 W078.43.07.876
                          N042.51.32.835 W078.43.07.876 N042.51.35.090 W078.43.11.722
                          N042.51.35.090 W078.43.11.722 N042.51.38.082 W078.43.14.492
                          N042.51.38.082 W078.43.14.492 N042.51.41.543 W078.43.15.942
                          N042.51.41.543 W078.43.15.942 N042.51.45.161 W078.43.15.942
                          N042.51.45.161 W078.43.15.942 N042.51.48.622 W078.43.14.492
                          N042.51.48.622 W078.43.14.492 N042.51.51.613 W078.43.11.719
                          N042.51.51.613 W078.43.11.719 N042.51.53.868 W078.43.07.871
                          N042.51.53.868 W078.43.07.871 N042.51.55.190 W078.43.03.289
                          N042.51.55.190 W078.43.03.289 N042.51.55.461 W078.42.58.382
                          N042.51.55.461 W078.42.58.382 N042.51.54.652 W078.42.53.584
                          N042.51.54.652 W078.42.53.584 N042.51.52.844 W078.42.49.323
                          N042.51.52.844 W078.42.49.323 N042.51.50.190 W078.42.45.975
                          N042.51.50.190 W078.42.45.975 N042.51.46.925 W078.42.43.843
                          N042.51.46.925 W078.42.43.843 N042.51.43.345 W078.42.43.111
                          N042.51.43.345 W078.42.43.111 N042.51.43.345 W078.42.43.111
                          N042.56.29.176 W078.44.05.861 N042.56.25.553 W078.44.04.965
                          N042.56.29.833 W078.44.07.207 N042.56.24.565 W078.44.05.861
                          N042.56.30.162 W078.44.08.103 N042.56.23.905 W078.44.07.207
                          N042.56.30.162 W078.44.09.896 N042.56.23.577 W078.44.08.103
                          N042.56.29.505 W078.44.10.792 N042.56.23.577 W078.44.09.896
                          N042.56.29.176 W078.44.12.137 N042.56.23.905 W078.44.10.792
                          N042.56.28.188 W078.44.13.034 N042.56.24.236 W078.44.12.137
                          N042.56.26.880 W078.44.04.588 N042.56.25.559 W078.44.04.970
                          N042.56.25.559 W078.44.04.970 N042.56.24.466 W078.44.06.051
                          N042.56.24.466 W078.44.06.051 N042.56.23.790 W078.44.07.643
                          N042.56.23.790 W078.44.07.643 N042.56.23.649 W078.44.09.472
                          N042.56.23.649 W078.44.09.472 N042.56.24.067 W078.44.11.220
                          N042.56.24.067 W078.44.11.220 N042.56.24.971 W078.44.12.587
                          N042.56.24.971 W078.44.12.587 N042.56.26.205 W078.44.13.334
                          N042.56.26.205 W078.44.13.334 N042.56.27.556 W078.44.13.334
