PITTSBURGH TRACON AREA    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ PIT CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.36.55.806 W079.49.50.602 N040.37.38.202 W079.50.15.006
                          N040.37.38.202 W079.50.15.006 N040.38.19.849 W079.50.41.545
                          N040.38.19.849 W079.50.41.545 N040.39.00.683 W079.51.10.179
                          N040.39.00.683 W079.51.10.179 N040.39.40.645 W079.51.40.870
                          N040.39.40.645 W079.51.40.870 N040.40.19.672 W079.52.13.568
                          N040.40.19.672 W079.52.13.568 N040.40.57.706 W079.52.48.231
                          N040.40.57.706 W079.52.48.231 N040.41.34.696 W079.53.24.804
                          N040.41.34.696 W079.53.24.804 N040.42.10.582 W079.54.03.235
                          N040.42.10.582 W079.54.03.235 N040.42.45.308 W079.54.43.465
                          N040.42.45.308 W079.54.43.465 N040.43.18.822 W079.55.25.434
                          N040.43.18.822 W079.55.25.434 N040.43.51.081 W079.56.09.083
                          N040.43.51.081 W079.56.09.083 N040.44.22.027 W079.56.54.345
                          N040.44.22.027 W079.56.54.345 N040.44.51.621 W079.57.41.151
                          N040.44.51.621 W079.57.41.151 N040.45.19.811 W079.58.29.437
                          N040.45.19.811 W079.58.29.437 N040.45.46.564 W079.59.19.125
                          N040.45.46.564 W079.59.19.125 N040.46.11.833 W080.00.10.141
                          N040.46.11.833 W080.00.10.141 N040.46.35.581 W080.01.02.411
                          N040.46.35.581 W080.01.02.411 N040.46.57.774 W080.01.55.857
                          N040.46.57.774 W080.01.55.857 N040.47.18.376 W080.02.50.398
                          N040.47.18.376 W080.02.50.398 N040.47.37.359 W080.03.45.953
                          N040.47.37.359 W080.03.45.953 N040.47.54.693 W080.04.42.438
                          N040.47.54.693 W080.04.42.438 N040.48.10.352 W080.05.39.765
                          N040.48.10.352 W080.05.39.765 N040.48.24.310 W080.06.37.852
                          N040.48.24.310 W080.06.37.852 N040.48.36.553 W080.07.36.610
                          N040.48.36.553 W080.07.36.610 N040.48.47.055 W080.08.35.949
                          N040.48.47.055 W080.08.35.949 N040.48.55.802 W080.09.35.784
